id,german,word_class,gender,plural,english,pronunciation,theme,antonym,example_de,example_en
"605","der Konflikt","Nomen","der","die Konflikte","conflict","kon-flikt","Person, Familie & Beziehungen","der Frieden","Ich habe einen Konflikt mit meinen Eltern.","I have a conflict with my parents."
"606","die Konkurrenz","Nomen","die","","competition / competitors","kon-koo-rents","Arbeit, Beruf & Karriere","","Es ist schwer, ein Geschäft aufzumachen. Die Konkurrenz ist groß.","It is hard to open a business. The competition is large."
"607","das Konsulat","Nomen","das","die Konsulate","consulate","kon-zoo-laht","Staat, Gesellschaft & Dokumente","","Ein Visum bekommst du auch im Konsulat.","You can also get a visa at the consulate."
"608","der Konsum","Nomen","der","","consumption","kon-zoom","Einkaufen, Geld & Konsum","","Der Konsum von Lebensmitteln steigt.","The consumption of food is increasing."
"609","die Kontrolle","Nomen","die","die Kontrollen","control / inspection / check","kon-trol-leh","Reise, Verkehr & Mobilität","","Fahrkartenkontrolle! Bitte Ihre Fahrkarten!","Ticket inspection! Your tickets, please."
"610","die Kopie","Nomen","die","die Kopien","copy / photocopy","ko-pee","Kommunikation, Medien & Sprache","das Original","Machst du mir bitte eine Kopie?","Could you please make a copy for me?"
"611","kopieren","Verb","","","to copy / to photocopy","ko-pee-ren","Kommunikation, Medien & Sprache","","Kann ich mir diesen Artikel kopieren?","Can I copy this article for myself?"
"612","der Kopierer","Nomen","der","die Kopierer","copier / photocopier","ko-pee-rer","Kommunikation, Medien & Sprache","","Der Kopierer ist schon wieder kaputt.","The copier is broken again."
"613","korrekt","Adjektiv","","","correct","ko-rekt","Eigenschaften & Adjektive","falsch","Ich habe die Rechnung geprüft. Alles ist korrekt.","I checked the invoice. Everything is correct."
"614","der Korridor","Nomen","der","die Korridore","corridor / hallway","ko-ri-dor","Wohnen, Haus & Haushalt","","Wir warten draußen im Korridor.","We are waiting outside in the corridor."
"615","die Kosten","Nomen","die","die Kosten","costs / expenses","kos-ten","Einkaufen, Geld & Konsum","","Die Kosten für die Reise bekomme ich von der Firma.","I will get the travel costs reimbursed by the company."
"616","kostenlos / kosten","Verb","","","free of charge / to cost","kos-ten-lohs / kos-ten","Einkaufen, Geld & Konsum","","Diese Zeitschrift kostet nichts. Sie ist kostenlos.","This magazine costs nothing. It is free of charge."
"617","das Kostüm","Nomen","das","die Kostüme","costume / suit","kos-tuem","Einkaufen, Geld & Konsum","","In dem Film tragen die Leute bunte Kostüme.","In the movie, the people wear colorful costumes."
"618","die Kraft","Nomen","die","die Kräfte","strength / power","krahft","Gesundheit, Körper & Pflege","die Schwäche","Für diese Arbeit braucht man viel Kraft.","For this work, one needs a lot of strength."
"619","das Kraftfahrzeug","Nomen","das","die Kraftfahrzeuge","motor vehicle","krahft-fahr-tsoyk","Reise, Verkehr & Mobilität","","Auf dieser Straße sind Kraftfahrzeuge nicht erlaubt.","Motor vehicles are not allowed on this street."
"620","das Kraftwerk","Nomen","das","die Kraftwerke","power plant / power station","krahft-vairk","Natur, Umwelt & Tiere","","Die Menschen protestieren gegen das Kraftwerk.","The people are protesting against the power plant."
"621","der Kranke","Nomen","der","die Kranken","sick person / patient (male)","krahn-keh","Gesundheit, Körper & Pflege","der Gesunde","Kranke brauchen viel Ruhe.","Sick people need a lot of rest."
"622","die Kranke","Nomen","die","die Kranken","sick person / patient (female)","krahn-keh","Gesundheit, Körper & Pflege","die Gesunde","Die Kranke braucht viel Ruhe.","The sick woman needs a lot of rest."
"623","der Krankenpfleger","Nomen","der","die Krankenpfleger","nurse (male)","krahn-ken-pfleh-ger","Gesundheit, Körper & Pflege","","Mein Bruder arbeitet als Krankenpfleger im Krankenhaus.","My brother works as a nurse in the hospital."
"624","der Krankenwagen","Nomen","der","die Krankenwagen","ambulance","krahn-ken-vah-gen","Gesundheit, Körper & Pflege","","Wir mussten einen Krankenwagen rufen.","We had to call an ambulance."
"625","kreativ","Adjektiv","","","creative","kreh-ah-teef","Eigenschaften & Adjektive","unkreativ","Die Kinder sind beim Basteln sehr kreativ.","The children are very creative when doing crafts."
"626","die Kreditkarte","Nomen","die","die Kreditkarten","credit card","kreh-deet-kar-teh","Einkaufen, Geld & Konsum","das Bargeld","Kann ich mit Kreditkarte zahlen?","Can I pay by credit card?"
"627","der Kreis","Nomen","der","die Kreise","circle","krys","Basiswortschatz & Floskeln","","Die Kinder sitzen im Kindergarten im Kreis.","The children sit in a circle in the kindergarten."
"628","das Kreuz","Nomen","das","die Kreuze","cross","kroyts","Basiswortschatz & Floskeln","","Was bedeutet dieses Kreuz hier?","What does this cross here mean?"
"629","der Krieg","Nomen","der","die Kriege","war","kreeg","Staat, Gesellschaft & Dokumente","der Frieden","Es herrscht noch immer Krieg in diesem Land.","There is still war in this country."
"630","die Kriminalpolizei","Andere","die","","criminal investigation department / CID","kri-mi-nahl-po-li-tsy","Staat, Gesellschaft & Dokumente","","Ein Nachbar von uns arbeitet bei der Kriminalpolizei.","A neighbor of ours works for the criminal investigation department."
"631","die Krise","Nomen","die","die Krisen","crisis","kree-zeh","Staat, Gesellschaft & Dokumente","","Die Wirtschaft steckt in einer schweren Krise.","The economy is in a severe crisis."
"632","die Kritik","Nomen","die","die Kritiken","criticism / review","kri-teek","Kommunikation, Medien & Sprache","das Lob","Es gibt viel Kritik an der Politik der Regierung.","There is a lot of criticism of the government's policies."
"633","kritisch","Adjektiv","","","critical","kree-tish","Eigenschaften & Adjektive","unkritisch","Ein Journalist hat kritische Fragen gestellt.","A journalist asked critical questions."
"634","kräftig","Adjektiv","","","strong / powerful / heartily","kref-tikh","Eigenschaften & Adjektive","schwach","Der Mann ist kräftig. Er macht viel Sport und isst viel.","The man is strong. He does a lot of sports and eats a lot."
"635","der Kunststoff","Nomen","der","die Kunststoffe","plastic / synthetic material","koonst-shtof","Basiswortschatz & Floskeln","","Der Stuhl ist aus Kunststoff.","The chair is made of plastic."
"636","der Kursleiter","Nomen","der","die Kursleiter","course instructor / teacher","koors-ly-ter","Ausbildung, Schule & Studium","der Kursteilnehmer","Der Kursleiter ist mit unserer Kursgruppe manchmal in den Computerraum gegangen.","The course instructor sometimes went to the computer room with our course group."
"637","die Kurve","Nomen","die","die Kurven","curve / bend","koor-veh","Reise, Verkehr & Mobilität","die Gerade","Fahr bitte nicht so schnell in die Kurven.","Please do not drive so fast into the curves."
"638","der Kuss","Nomen","der","die Küsse","kiss","koos","Person, Familie & Beziehungen","","Gib der Mama einen Kuss!","Give mom a kiss!"
"639","das Kuvert","Nomen","das","die Kuverts","envelope","koo-vair","Kommunikation, Medien & Sprache","","Ich hätte gern 50 Kuverts und Briefmarken dazu.","I would like 50 envelopes and stamps to go with them."
"640","die Kälte","Nomen","die","","cold / coldness","kel-teh","Natur, Umwelt & Tiere","die Hitze","Bei dieser Kälte fahre ich nicht mit dem Fahrrad.","In this cold, I am not riding the bicycle."
"641","der Käufer","Nomen","der","die Käufer","buyer / purchaser","koy-fer","Einkaufen, Geld & Konsum","der Verkäufer","Ich habe schon einen Käufer für den alten Tisch.","I already have a buyer for the old table."
"642","die Köchin","Nomen","die","die Köchinnen","cook / chef (female)","koe-khin","Essen, Kochen & Restaurant","","Meine Schwester arbeitet als Köchin.","My sister works as a cook."
"643","der König","Nomen","der","die Könige","king","koe-nikh","Staat, Gesellschaft & Dokumente","","Der spanische König ist in Deutschland zu Besuch.","The Spanish king is visiting Germany."
"644","die Kündigung","Nomen","die","die Kündigungen","notice of dismissal / resignation / termination","kuen-di-goong","Arbeit, Beruf & Karriere","die Einstellung","Ich habe die Kündigung bekommen. Jetzt bin ich arbeitslos.","I received my notice of dismissal. Now I am unemployed."
"645","der Künstler","Nomen","der","die Künstler","artist (male)","kuenst-ler","Arbeit, Beruf & Karriere","","In diesem Stadtteil wohnen viele Künstler.","Many artists live in this district."
"646","künstlich","Adjektiv","","","artificial / artificially","kuenst-likh","Eigenschaften & Adjektive","natürlich","Ich mag kein künstliches Licht.","I do not like artificial light."
"647","kürzlich","Andere","","","recently","kuerts-likh","Uhrzeit, Datum & Kalender","","Wir haben doch kürzlich darüber gesprochen, dass wir am Wochenende wegfahren wollen.","We recently talked about wanting to go away for the weekend."
"648","küssen","Verb","","","to kiss","kews-sen","Person, Familie & Beziehungen","","Er nahm sie in die Arme und küsste sie.","He took her in his arms and kissed her."
"649","die Küste","Nomen","die","die Küsten","coast","kews-teh","Natur, Umwelt & Tiere","das Binnenland","Unser Dorf liegt direkt an der Küste.","Our village is located right on the coast."
"650","das Lager","Nomen","das","die Lager","warehouse / camp","lah-ger","Einkaufen, Geld & Konsum","","Ich weiß nicht, ob wir diesen Schuh in Ihrer Größe haben. Ich sehe mal im Lager nach.","I don't know if we have this shoe in your size. I will check in the warehouse."
"651","landen (gelandet)","Verb","","","to land","lahn-den","Reise, Verkehr & Mobilität","starten","Wir sind erst um 20 Uhr in München gelandet.","We only landed in Munich at 8 PM."
"652","die Landschaft","Nomen","die","die Landschaften","landscape / scenery","lahnt-shahft","Natur, Umwelt & Tiere","","Die Landschaft ist sehr hügelig.","The landscape is very hilly."
"653","die Landung","Nomen","die","die Landungen","landing","lahn-doong","Reise, Verkehr & Mobilität","der Start","Bei der Landung müssen Sie sich anschnallen.","You must fasten your seatbelt during the landing."
"654","die Landwirtschaft","Nomen","die","","agriculture / farming","lahnt-veert-shahft","Natur, Umwelt & Tiere","die Industrie","Auf dem Land arbeiten die meisten Leute in der Landwirtschaft.","In the country, most people work in agriculture."
"655","die Langeweile","Nomen","die","","boredom","lahng-eh-vy-leh","Gefühle, Charakter & Meinung","die Spannung","Er ist aus Langeweile eingeschlafen.","He fell asleep out of boredom."
"656","der Laster","Nomen","der","die Laster","truck / lorry","lahs-ter","Reise, Verkehr & Mobilität","","Auf der Autobahn waren so viele Laster. Deshalb hat es so lange gedauert.","There were so many trucks on the highway. That's why it took so long."
"657","das Laufwerk","Nomen","das","die Laufwerke","disk drive / drive","lowf-vairk","Kommunikation, Medien & Sprache","","Für meinen Computer habe ich mir ein neues Laufwerk gekauft.","I bought a new disk drive for my computer."
"658","die Laune","Nomen","die","die Launen","mood / temper","low-neh","Gefühle, Charakter & Meinung","","Heute geht es mir besser, aber gestern hatte ich richtig schlechte Laune.","Today I am doing better, but yesterday I was in a really bad mood."
"659","der Lautsprecher","Nomen","der","die Lautsprecher","loudspeaker / speaker","lowt-shpre-kher","Kommunikation, Medien & Sprache","","Bitte achten Sie auch auf die Lautsprecher-Ansagen am Bahnhof.","Please also pay attention to the loudspeaker announcements at the train station."
"660","der Lebenslauf","Nomen","der","die Lebensläufe","curriculum vitae / CV / resume","leh-bens-lowf","Arbeit, Beruf & Karriere","","Hast du den Lebenslauf für die Bewerbung schon geschrieben?","Have you already written the CV for the application?"
"661","das Leder","Nomen","das","","leather","leh-der","Einkaufen, Geld & Konsum","","Ist die Tasche aus Leder?","Is the bag made of leather?"
"662","ledig","Andere","","","single / unmarried","leh-dikh","Person, Familie & Beziehungen","verheiratet","Wie ist Ihr Familienstand? – Ledig.","What is your marital status? – Single."
"663","die Lehre","Nomen","die","die Lehren","apprenticeship / training","leh-reh","Ausbildung, Schule & Studium","","Mein Cousin will eine dreijährige Lehre machen.","My cousin wants to do a three-year apprenticeship."
"664","der Lehrling","Nomen","der","die Lehrlinge","apprentice / trainee","lehr-ling","Ausbildung, Schule & Studium","der Meister","Als Lehrling verdient man nicht sehr viel Geld.","As an apprentice, one does not earn very much money."
"665","die Lehrstelle","Nomen","die","die Lehrstellen","apprenticeship / training position","lehr-shtel-leh","Ausbildung, Schule & Studium","","Es sind noch viele Lehrstellen frei.","There are still many apprenticeship positions available."
"666","leid tun","Verb","","","to be sorry","lyt toon","Gefühle, Charakter & Meinung","","Es tut mir leid, dass ich Ihnen nicht helfen kann.","I am sorry that I cannot help you."
"667","leisten","Verb","","","to afford / to achieve","lys-ten","Einkaufen, Geld & Konsum","","So ein teures Auto kann ich mir leider nicht leisten.","Unfortunately, I cannot afford such an expensive car."
"668","die Leistung","Nomen","die","die Leistungen","performance / achievement","lys-toong","Arbeit, Beruf & Karriere","","Meine Leistungen in der Schule sind ganz gut.","My performances in school are quite good."
"669","der Leiter","Nomen","der","die Leiter","director / manager / leader (male)","ly-ter","Arbeit, Beruf & Karriere","","Wie heißt der Leiter der Schule?","What is the name of the director of the school?"
"670","die Leiter","Nomen","die","die Leitern","ladder","ly-ter","Wohnen, Haus & Haushalt","","Haben Sie eine Leiter für mich? Ich will die Fenster putzen.","Do you have a ladder for me? I want to clean the windows."
"671","die Leitung","Nomen","die","die Leitungen","management / line / pipe","ly-toong","Arbeit, Beruf & Karriere","","Tut mir leid, alle Leitungen sind besetzt.","I'm sorry, all lines are busy."
"672","der Lerner","Nomen","der","die Lerner","learner","lair-ner","Ausbildung, Schule & Studium","der Lehrer","Sie ist eine fleißige Lernerin.","She is a diligent learner."
"673","der Leser","Nomen","der","die Leser","reader","leh-zer","Kommunikation, Medien & Sprache","der Autor","Die Leserinnen und Leser sind mit der Zeitung zufrieden.","The readers are satisfied with the newspaper."
"674","letzt- / die Leute (Pl.)","Andere","","","last / people","letst / loy-teh","Uhrzeit, Datum & Kalender / Person, Familie & Beziehungen","erst-","Was hast du letzte Woche gemacht? Auf der Party waren viele Leute.","What did you do last week? There were many people at the party."
"675","das Lexikon","Nomen","das","die Lexika","encyclopedia / dictionary","lek-see-kon","Ausbildung, Schule & Studium","","Wir könnten im Lexikon nachsehen.","We could look it up in the encyclopedia."
"676","die Liebe","Nomen","die","","love","lee-beh","Gefühle, Charakter & Meinung","der Hass","Wir haben aus Liebe geheiratet.","We married out of love."
"677","Lieblings- / das Lied","Andere","","","favorite / song","leeb-lings / leet","Freizeit, Hobbys & Unterhaltung","","Mein Lieblingsessen ist Pizza. Zu deinem Geburtstag singen wir dir ein Lied.","My favorite food is pizza. We will sing you a song for your birthday."
"678","die Lieferung","Nomen","die","die Lieferungen","delivery","lee-feh-roong","Einkaufen, Geld & Konsum","","Sie bezahlen erst bei der Lieferung.","You only pay upon delivery."
"679","der Lift","Nomen","der","die Lifte","elevator / lift","lift","Wohnen, Haus & Haushalt","","Im Büro ist leider der Lift kaputt.","Unfortunately, the elevator in the office is broken."
"680","die Limonade","Nomen","die","die Limonaden","lemonade","lee-mo-nah-deh","Essen, Kochen & Restaurant","","Die Limonade ist sehr süß.","The lemonade is very sweet."
"681","die Linie","Nomen","die","die Linien","line","lee-nee-eh","Reise, Verkehr & Mobilität","","Zum Hauptbahnhof können Sie mit der Linie 8 fahren.","You can take line 8 to the main train station."
"682","link- / die Lippe","Nomen","","die Lippen","left / lip","link / lip-peh","Gesundheit, Körper & Pflege","recht-","Das Haus ist auf der linken Seite. Meine Lippen sind ganz trocken.","The house is on the left side. My lips are completely dry."
"683","die Liste","Nomen","die","die Listen","list","lis-teh","Einkaufen, Geld & Konsum","","Was brauchen wir für die Party? – Mach doch eine Einkaufsliste.","What do we need for the party? – Why don't you make a shopping list."
"684","die Literatur","Nomen","die","","literature","lee-teh-rah-toor","Freizeit, Hobbys & Unterhaltung","","Ich interessiere mich für Literatur.","I am interested in literature."
"685","das Loch","Nomen","das","die Löcher","hole","lokh","Basiswortschatz & Floskeln","","Ich habe ein Loch im Zahn. Ich muss zum Zahnarzt.","I have a hole in my tooth. I have to go to the dentist."
"686","locker","Adjektiv","","","loose / relaxed","lok-er","Gesundheit, Körper & Pflege","fest","Lassen Sie bitte die Arme ganz locker und atmen Sie tief ein.","Please leave your arms completely relaxed and take a deep breath."
"687","die Luft","Nomen","die","","air","looft","Natur, Umwelt & Tiere","","Bitte mach das Fenster auf. Ich brauche frische Luft.","Please open the window. I need fresh air."
"688","lustig machen","Verb","","","to make fun of / to be funny","loos-tikh mah-khen","Gefühle, Charakter & Meinung","ernst bleiben","Ich habe einen lustigen Film gesehen.","I saw a funny movie."
"689","die Länge","Nomen","die","die Längen","length","leng-eh","Zahlen, Maße & Mengen","die Kürze","Mein Schreibtisch hat folgende Maße: Länge 1,20 m, Breite 0,85 m, Höhe 0,75 m.","My desk has the following dimensions: length 1.20 m, width 0.85 m, height 0.75 m."
"690","längst","Andere","","","long ago / for a long time","lengst","Uhrzeit, Datum & Kalender","","Die Heizung habe ich schon längst repariert.","I repaired the heating a long time ago."
"691","der Lärm","Nomen","der","","noise","lairm","Basiswortschatz & Floskeln","die Ruhe","Die Flugzeuge machen einen schrecklichen Lärm.","The airplanes make a terrible noise."
"692","die Mahlzeit","Nomen","die","die Mahlzeiten","meal","mahl-tsyt","Essen, Kochen & Restaurant","","In Deutschland gibt es meist nur einmal am Tag eine warme Mahlzeit.","In Germany, there is usually a warm meal only once a day."
"693","die Mahnung","Nomen","die","die Mahnungen","reminder / warning","mah-noong","Einkaufen, Geld & Konsum","","Wenn du die Rechnung nicht pünktlich bezahlst, bekommst du eine Mahnung.","If you do not pay the bill on time, you will get a reminder."
"694","mal","Andere","","","times / time / once","mahl","Uhrzeit, Datum & Kalender","","Komm doch bitte mal her und hilf mir.","Please come here for a moment and help me."
"695","das Mal","Nomen","das","die Male","time","mahl","Uhrzeit, Datum & Kalender","","Das erste Mal war ich vor fünf Jahren in England.","The first time I was in England was five years ago."
"696","der Maler","Nomen","der","die Maler","painter","mah-ler","Arbeit, Beruf & Karriere","","Picasso ist vielleicht der bekannteste Maler der Welt.","Picasso is perhaps the most famous painter in the world."
"697","manch- / manchmal","Andere","","","some / sometimes","mahnch / mahnch-mahl","Uhrzeit, Datum & Kalender","nie","Manchmal gehe ich mit meiner Frau ins Café.","Sometimes I go to a café with my wife."
"698","der Mangel","Nomen","der","die Mängel","lack / shortage / defect","mahng-el","Basiswortschatz & Floskeln","der Überfluss","In dieser Stadt gibt es einen großen Mangel an Wohnungen.","In this city there is a great lack of apartments."
"699","die Mannschaft","Nomen","die","die Mannschaften","team","mahn-shahft","Freizeit, Hobbys & Unterhaltung","","Unsere Mannschaft hat 0:1 verloren.","Our team lost 0:1."
"700","die Marille","Nomen","die","die Marillen","apricot","mah-ril-leh","Essen, Kochen & Restaurant","","Schmecken dir die Marillen?","Do you like the apricots?"
"701","die Marke","Nomen","die","die Marken","brand / stamp","mahr-keh","Kommunikation, Medien & Sprache","","Markenschuhe sind mir zu teuer.","Brand name shoes are too expensive for me."
"702","die Marmelade","Nomen","die","die Marmeladen","jam / marmalade","mahr-meh-lah-deh","Essen, Kochen & Restaurant","","Bring bitte noch ein Glas Marmelade mit.","Please bring another jar of jam."
"703","das Material","Nomen","das","die Materialien","material","mah-teh-ree-ahl","Einkaufen, Geld & Konsum","","Aus welchem Material ist der Schrank? – Aus Holz.","What material is the cabinet made of? – Of wood."
"704","die Matura","Nomen","die","","high school diploma / A-levels (Austria/Switzerland)","mah-too-rah","Ausbildung, Schule & Studium","","Meine Tochter hat gerade die Matura gemacht.","My daughter just did her high school diploma."
"705","die Mauer","Nomen","die","die Mauern","wall","mow-er","Wohnen, Haus & Haushalt","","Die Kinder sind über die Mauer geklettert.","The children climbed over the wall."
"706","maximal","Andere","","","maximum / at most","mak-see-mahl","Zahlen, Maße & Mengen","minimal","Wie lange braucht ein Brief? – Maximal zwei Tage.","How long does a letter take? – A maximum of two days."
"707","der Mechaniker","Nomen","der","die Mechaniker","mechanic","meh-khah-ni-ker","Arbeit, Beruf & Karriere","","Das kann nur ein Mechaniker reparieren.","Only a mechanic can repair that."
"708","die Medien","Nomen","die","die Medien","media","mee-dee-en","Kommunikation, Medien & Sprache","","Umweltschutz ist in den Medien ein großes Thema.","Environmental protection is a big topic in the media."
"709","das Medikament","Nomen","das","die Medikamente","medicine / medication / drug","meh-dee-kah-ment","Gesundheit, Körper & Pflege","","Dieses Medikament gibt es nur auf Rezept.","This medication is only available on prescription."
"710","die Medizin","Nomen","die","","medicine","meh-dee-tseen","Gesundheit, Körper & Pflege","","Mein Sohn will Medizin studieren.","My son wants to study medicine."
"711","das Mehl","Nomen","das","","flour","mehl","Essen, Kochen & Restaurant","","Ich möchte einen Kuchen backen. Ist noch genug Mehl da?","I would like to bake a cake. Is there still enough flour?"
"712","mehrere","Andere","","","several / multiple","meh-reh-reh","Zahlen, Maße & Mengen","wenige","Viele Wörter haben mehrere Bedeutungen.","Many words have several meanings."
"713","die Mehrheit","Nomen","die","die Mehrheiten","majority","mehr-hyte","Zahlen, Maße & Mengen","die Minderheit","Die Mehrheit der Menschen in Deutschland besitzt ein Handy.","The majority of people in Germany own a cell phone."
"714","die Mehrwertsteuer","Nomen","die","","value added tax / VAT","mehr-vairt-shtoy-er","Einkaufen, Geld & Konsum","","Die Mehrwertsteuer bei diesem Produkt beträgt 20 %.","The value added tax for this product is 20%."
"715","meinetwegen","Andere","","","for my sake / as far as I'm concerned","my-net-veh-gen","Basiswortschatz & Floskeln","","Meinetwegen kannst du heute das Auto haben.","For all I care, you can have the car today."
"716","der Meister","Nomen","der","die Meister","master / champion","my-ster","Arbeit, Beruf & Karriere","der Lehrling","Ich weiß nicht, wie man das macht. – Dann frag doch den Meister.","I don't know how to do that. – Then ask the master."
"717","die Meldung","Nomen","die","die Meldungen","message / report / announcement","mel-doong","Kommunikation, Medien & Sprache","","Hast du die Meldung im Radio gehört? Es wird starken Sturm geben.","Did you hear the report on the radio? There will be a strong storm."
"718","die Mensa","Nomen","die","die Mensas/en","university cafeteria / canteen","men-zah","Essen, Kochen & Restaurant","","Ich esse fast jeden Tag in der Mensa.","I eat in the university cafeteria almost every day."
"719","menschlich","Adjektiv","","","human / humane","mensh-likh","Eigenschaften & Adjektive","unmenschlich","Fehler zu machen ist menschlich.","Making mistakes is human."
"720","das Menü","Nomen","das","die Menüs","menu / set meal","meh-nue","Essen, Kochen & Restaurant","","Nimm doch das Menü, das sieht gut aus.","Take the set meal, it looks good."
"721","merkwürdig","Adjektiv","","","strange / curious / odd","mairk-vuer-dikh","Eigenschaften & Adjektive","normal","Das ist eine merkwürdige Geschichte.","That is a strange story."
"722","messen","Verb","","","to measure","mes-sen","Zahlen, Maße & Mengen","","Haben Sie schon Fieber gemessen?","Have you already measured your temperature?"
"723","die Methode","Nomen","die","die Methoden","method","meh-to-deh","Ausbildung, Schule & Studium","","Weißt du eine gute Methode, um schnell gut Deutsch zu lernen?","Do you know a good method to learn good German quickly?"
"724","die Metropole","Nomen","die","die Metropolen","metropolis","meh-tro-po-leh","Staat, Gesellschaft & Dokumente","das Dorf","Berlin und Wien sind Metropolen.","Berlin and Vienna are metropolises."
"725","der Metzger","Nomen","der","die Metzger","butcher","mets-ger","Arbeit, Beruf & Karriere","","Dieser Metzger hat sehr gute Wurst.","This butcher has very good sausage."
"726","der Mieter","Nomen","der","die Mieter","tenant","mee-ter","Wohnen, Haus & Haushalt","der Vermieter","Sie hat heute neue Mieter für die Wohnung gefunden.","She found new tenants for the apartment today."
"727","der Migrant","Nomen","der","die Migranten","migrant","mi-grahnt","Staat, Gesellschaft & Dokumente","der Einheimische","Viele Migranten kommen aus Osteuropa.","Many migrants come from Eastern Europe."
"728","die Migrantin","Nomen","die","die Migrantinnen","migrant (female)","mi-grahn-tin","Staat, Gesellschaft & Dokumente","die Einheimische","Viele Migrantinnen kommen aus Osteuropa.","Many female migrants come from Eastern Europe."
"729","die Migration","Nomen","die","","migration","mi-grah-tsee-ohn","Staat, Gesellschaft & Dokumente","","Gestern gab es im Fernsehen eine Diskussion zum Thema Migration.","Yesterday there was a discussion on television about the topic of migration."
"730","mild","Adjektiv","","","mild / not spicy","milt","Eigenschaften & Adjektive","scharf","Möchten Sie die Soße scharf? – Nein, bitte ganz mild.","Would you like the sauce spicy? – No, very mild please."
"731","die Minderheit","Nomen","die","die Minderheiten","minority","min-der-hyte","Staat, Gesellschaft & Dokumente","die Mehrheit","Frauen sind in unserer Firma in der Minderheit.","Women are in the minority in our company."
"732","mischen","Verb","","","to mix","mish-en","Allgemeine Aktivitäten & Verben","trennen","Ich möchte ein gemischtes Eis mit Sahne.","I would like a mixed ice cream with whipped cream."
"733","miteinander","Andere","","","with each other / together","mit-eye-nahn-der","Basiswortschatz & Floskeln","gegeneinander","Sprechen Sie bitte miteinander.","Please speak with each other."
"734","das Mitglied","Nomen","das","die Mitglieder","member","mit-gleet","Staat, Gesellschaft & Dokumente","","Für Mitglieder ist der Eintritt zum Konzert gratis.","For members, admission to the concert is free."
"735","mittler- / mittlerweile","Andere","","","middle / meanwhile","mit-ler / mit-ler-vy-leh","Basiswortschatz & Floskeln","","Am Anfang war die Arbeit schwer. Mittlerweile habe ich mich daran gewöhnt.","At the beginning the work was hard. Meanwhile, I have gotten used to it."
"736","die Mobilität","Nomen","die","die Mobilitäten","mobility","mo-bi-li-taet","Reise, Verkehr & Mobilität","","Sprachen zu lernen fördert die Mobilität.","Learning languages promotes mobility."
"737","das Modell","Nomen","das","die Modelle","model","mo-del","Basiswortschatz & Floskeln","","Wie findest du dieses Auto? – Dieses Modell gefällt mir nicht.","How do you like this car? – I do not like this model."
"738","der Mond","Nomen","der","die Monde","moon","mohnt","Natur, Umwelt & Tiere","die Sonne","Bei Vollmond kann ich nicht schlafen.","I cannot sleep at full moon."
"739","der Monitor","Nomen","der","die Monitore","monitor / screen","mo-nee-tor","Kommunikation, Medien & Sprache","","Ich habe mir einen größeren Monitor gekauft. Das ist besser für meine Augen.","I bought a larger monitor. That is better for my eyes."
"740","das Motorrad","Nomen","das","die Motorräder","motorcycle","mo-toh-raht","Reise, Verkehr & Mobilität","","Oskar fährt jeden Tag mit dem Motorrad zur Arbeit.","Oskar rides his motorcycle to work every day."
"741","musikalisch","Adjektiv","","","musical / musically","moo-zi-kah-lish","Eigenschaften & Adjektive","unmusikalisch","Sie ist sehr musikalisch: Sie spielt Klavier, Flöte und Geige.","She is very musical: she plays piano, flute, and violin."
"742","der Musiker","Nomen","der","die Musiker","musician (male)","moo-zi-ker","Arbeit, Beruf & Karriere","","Mein Bruder möchte Musiker werden.","My brother wants to become a musician."
"743","der Muskel","Nomen","der","die Muskeln","muscle","moos-kel","Gesundheit, Körper & Pflege","","Im Fitness-Studio trainieren wir unsere Muskeln.","We train our muscles in the fitness studio."
"744","der Mut","Nomen","der","","courage / bravery","moot","Gefühle, Charakter & Meinung","die Feigheit","Man braucht viel Mut, um in einem fremden Land ganz neu anzufangen.","You need a lot of courage to start completely anew in a foreign country."
"745","mutig","Adjektiv","","","brave / courageous","moo-tikh","Eigenschaften & Adjektive","feige","Es war sehr mutig von dir, deine Meinung laut zu sagen.","It was very brave of you to express your opinion out loud."
"746","die Muttersprache","Nomen","die","die Muttersprachen","native language / mother tongue","mut-ter-shprah-khuh","Kommunikation, Medien & Sprache","die Fremdsprache","Was ist Ihre Muttersprache?","What is your native language?"
"747","das Märchen","Nomen","das","die Märchen","fairy tale","mair-khen","Freizeit, Hobbys & Unterhaltung","","Meine Großmutter hat uns viele Märchen erzählt.","My grandmother told us many fairy tales."
"748","die Möglichkeit","Nomen","die","die Möglichkeiten","possibility / opportunity","moeg-likh-kyte","Basiswortschatz & Floskeln","die Unmöglichkeit","Sie wollen ans Meer? Da gibt es mehrere Möglichkeiten.","You want to go to the sea? There are several possibilities."
"749","möglichst","Andere","","","as ... as possible / preferably","moeg-likhst","Basiswortschatz & Floskeln","","Sagen Sie mir bitte möglichst bald, ob Ihnen der Termin passt.","Please tell me as soon as possible whether the appointment suits you."
"750","die Möhre","Nomen","die","die Möhren","carrot","moe-reh","Essen, Kochen & Restaurant","","Hasen fressen gern Möhren.","Rabbits like to eat carrots."
"751","die Mühe","Nomen","die","die Mühen","effort / trouble","mue-heh","Basiswortschatz & Floskeln","","Vielen Dank für Ihre Mühe.","Thank you very much for your effort."
"752","die Müllabfuhr","Nomen","die","","garbage collection","muel-ahp-foor","Natur, Umwelt & Tiere","","Die Müllabfuhr kommt zweimal pro Woche.","The garbage collection comes twice a week."
